,name,length,probability,prediction,vfam,pfam,diamond,label,score_euk_non_euk,pred_euk_non_euk,score_non_euk_virus,pred_non_euk_virus,score_virus_non_virus,pred_virus_non_virus,hybrid_probability,hybrid_prediction,tax_id,rank,tax_name,top_label,Class_x,Class_id_x,Prob_class_0_x,Prob_class_1_300k_full,Prob_class_2_x,Prob_class_3_x,Class_y,Class_id_y,Prob_class_0_y,Prob_class_1_3M_train,Prob_class_2_y,Prob_class_3_y,Class,Class_id,Prob_class_0,Prob_class_1_1M_combined,Prob_class_2,Prob_class_3,non_euk_label,micromonas_label,annotation_label,category
17169,NODE_23_length_11729_cov_51.6049_g15_i0,11729,0.999889782593,1.0,0.0,0.0,0.0,0.0,0.0316689133572,0.0,0.181281584773,0.0,2.32337032056e-05,0.0,0.17794780946,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,6.57389e-05,0.905248,0.00803118,0.0866552,1.0,1.0,1.18963e-05,0.767383,0.0087747,0.223831,1.0,1.0,5.67312e-05,0.975565,0.000527614,0.0238509,False,True,with annotation,nonvirus
17171,NODE_25_length_11338_cov_126.87_g17_i0,11338,0.716168881781,1.0,0.0,0.0,0.0,0.0,0.9633122444,1.0,0.580522712797,1.0,0.0222485030497,0.0,0.830598731565,True,564608,no rank,Micromonas pusilla CCMP1545,Eukaryota,1.0,1.0,0.00450571,0.884535,0.0206164,0.0903425,3.0,3.0,0.00652399,0.309397,0.0424637,0.641616,1.0,1.0,0.00322445,0.917154,0.0198792,0.0597423,False,True,with annotation,nonvirus
17175,NODE_29_length_10260_cov_34.7062_g18_i0,10260,0.999999365957,1.0,0.0,0.0,0.0,0.0,4.66248370836e-05,0.0,0.999770536993,1.0,0.00669223911741,0.0,0.00682823604758,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0226409,0.755449,0.0616638,0.160247,3.0,3.0,0.0076657,0.0834239,0.0353723,0.873538,1.0,1.0,0.0040051,0.889684,0.0293547,0.0769562,False,True,with annotation,nonvirus
17176,NODE_30_length_10046_cov_53.1864_g19_i0,10046,0.779990435403,1.0,0.0,0.0,0.0,0.0,0.997917848393,1.0,0.408391063778,0.0,0.022550653366,0.0,0.882250745006,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,1.87786e-05,0.573982,0.00436879,0.42163,3.0,3.0,1.98714e-06,0.0835789,0.00365925,0.91276,1.0,1.0,6.63968e-05,0.722936,0.00100754,0.27599,False,True,with annotation,nonvirus
17205,NODE_60_length_8064_cov_23.4797_g37_i0,8064,4.84770065492e-19,0.0,0.0,0.0,0.0,0.0,0.955073922524,1.0,0.732001347465,1.0,0.0246603883985,0.0,6.80434602274e-10,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.000148989,0.00966137,0.0153999,0.97479,3.0,3.0,5.91323e-06,1.2137e-05,0.00120533,0.998777,3.0,3.0,5.95253e-05,0.00016389,0.0126042,0.987172,False,True,with annotation,nonvirus
17208,NODE_63_length_7960_cov_120.452_g40_i0,7960,0.999998768169,1.0,0.0,0.0,0.0,0.0,2.08633458392e-05,0.0,0.999934154804,1.0,0.00179353035175,0.0,0.00456763835467,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0251487,0.828944,0.0365656,0.109342,3.0,3.0,0.0021422,0.00308996,0.00601194,0.988756,3.0,3.0,0.00934956,0.165855,0.0975297,0.727266,False,True,with annotation,nonvirus
17221,NODE_76_length_7405_cov_27.6513_g51_i0,7405,0.641670316491,1.0,0.0,0.0,0.0,0.0,0.99790155263,1.0,0.050492260358,0.0,0.003037039232,0.0,0.800202352598,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0154531,0.764084,0.0663841,0.154079,3.0,3.0,0.0107551,0.208595,0.063494,0.717156,1.0,1.0,0.00355498,0.860186,0.023848,0.112411,False,True,with annotation,nonvirus
17223,NODE_78_length_7342_cov_53.9075_g53_i0,7342,7.30421786024e-18,0.0,0.0,0.0,0.0,0.0,0.036573968551,0.0,0.978133704516,1.0,0.5576746632,1.0,5.16859975535e-10,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,4.94461e-05,0.000379229,0.00101668,0.998555,3.0,3.0,1.155e-05,1.12516e-06,0.000132533,0.999855,3.0,3.0,8.21185e-06,9.34927e-07,0.00170271,0.998288,False,True,with annotation,nonvirus
17232,NODE_88_length_7117_cov_125.445_g61_i0,7117,7.44419101236e-06,0.0,0.0,0.0,0.0,0.0,0.185368467846,0.0,0.962594827809,1.0,0.00520758425924,0.0,0.00117469923058,False,38832,genus,Micromonas,Eukaryota,2.0,2.0,0.0234163,0.238342,0.389504,0.348738,3.0,3.0,0.0088059,0.0415746,0.125033,0.824586,1.0,1.0,0.0214294,0.426927,0.326262,0.225382,False,True,with annotation,nonvirus
17245,NODE_101_length_6900_cov_129.825_g61_i1,6900,1.02524919104e-05,0.0,0.0,0.0,0.0,0.0,0.332992890135,0.0,0.981864483673,1.0,0.0104098775107,0.0,0.00184770314508,False,38832,genus,Micromonas,Eukaryota,3.0,3.0,0.0239959,0.258718,0.346309,0.370977,3.0,3.0,0.00876535,0.0466211,0.110204,0.834409,1.0,1.0,0.021885,0.450917,0.264049,0.263149,False,True,with annotation,nonvirus
17247,NODE_103_length_6848_cov_81.4235_g71_i0,6848,0.00147364289468,0.0,0.0,0.0,0.0,0.0,0.0658290765285,0.0,0.979171337565,1.0,0.00133656545937,0.0,0.00984929189788,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0161329,0.674193,0.132987,0.176687,3.0,3.0,0.00988661,0.0465166,0.144639,0.798958,1.0,1.0,0.0233988,0.56011,0.18893,0.227561,False,True,with annotation,nonvirus
17254,NODE_110_length_6763_cov_17.5851_g77_i0,6763,0.6205316175,1.0,0.0,0.0,0.0,0.0,0.999903926309,1.0,0.0340289504532,0.0,0.00697742580507,0.0,0.787700451147,True,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0121211,0.862075,0.0400288,0.0857756,3.0,3.0,0.0104001,0.245691,0.0344625,0.709447,1.0,1.0,0.00437071,0.893322,0.0361947,0.0661123,False,True,with annotation,nonvirus
17256,NODE_112_length_6738_cov_50.7223_g78_i0,6738,0.723781851818,1.0,0.0,0.0,0.0,0.0,0.999748044617,1.0,0.0817979827342,0.0,0.0101676351273,0.0,0.850646513591,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.017107,0.773729,0.0380809,0.171083,3.0,3.0,0.00566664,0.0519436,0.0242264,0.918163,1.0,1.0,0.00740318,0.735088,0.0674427,0.190066,False,True,with annotation,nonvirus
17259,NODE_115_length_6679_cov_28.0874_g51_i1,6679,0.663994123526,1.0,0.0,0.0,0.0,0.0,0.997954310508,1.0,0.0529100273315,0.0,0.00389539297759,0.0,0.81402444541,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.00763193,0.847166,0.0395258,0.105676,3.0,3.0,0.0105654,0.377323,0.0491932,0.562918,1.0,1.0,0.00161281,0.938969,0.00932999,0.0500879,False,True,with annotation,nonvirus
17265,NODE_121_length_6638_cov_33.6793_g83_i0,6638,0.00676510157258,0.0,0.0,0.0,0.0,0.0,0.0098848681359,0.0,0.976713656719,1.0,0.00643049085246,0.0,0.00817753856432,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.00103555,0.377658,0.118135,0.503171,3.0,3.0,0.000107527,0.0503479,0.0530393,0.896505,1.0,1.0,0.0010717,0.8221,0.0280931,0.148735,False,True,with annotation,nonvirus
17266,NODE_122_length_6638_cov_33.6374_g83_i1,6638,0.00705543858731,0.0,0.0,0.0,0.0,0.0,0.00941584307706,0.0,0.974248981332,1.0,0.00575186973765,0.0,0.00815063816998,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.00101469,0.385284,0.113768,0.499933,3.0,3.0,0.000107934,0.0521243,0.0526931,0.895075,1.0,1.0,0.00105582,0.825154,0.0279463,0.145844,False,True,with annotation,nonvirus
17290,NODE_146_length_6252_cov_19.0094_g101_i0,6252,1.46198281283e-07,0.0,0.0,0.0,0.0,0.0,0.00552522401059,0.0,0.862163016899,1.0,0.000987970439712,0.0,2.84214400418e-05,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.0152805,0.263941,0.0981125,0.622666,3.0,3.0,0.00337271,0.0356832,0.0231201,0.937824,3.0,3.0,0.00413337,0.151035,0.0655756,0.779256,False,True,with annotation,nonvirus
17303,NODE_159_length_6097_cov_21.7906_g111_i0,6097,0.626845156327,1.0,0.0,0.0,0.0,0.0,0.999398911046,1.0,0.0315649291641,0.0,0.00184368704492,0.0,0.791497546824,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0879555,0.563796,0.150959,0.197289,3.0,3.0,0.00841911,0.00687868,0.0244009,0.960301,1.0,1.0,0.0162003,0.636407,0.117308,0.230084,False,True,with annotation,nonvirus
17310,NODE_166_length_5980_cov_77.4731_g114_i0,5980,1.0,1.0,0.0,0.0,0.0,0.0,0.00028529953201,0.0,0.99999920396,1.0,0.934118284365,1.0,0.0168908120589,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.000530885,0.9942,0.00167126,0.00359752,1.0,1.0,0.00490517,0.625643,0.0199514,0.349501,1.0,1.0,0.000397084,0.99262,0.00262077,0.00436222,False,True,with annotation,nonvirus
17320,NODE_177_length_5869_cov_76.7114_g124_i0,5869,0.999999980342,1.0,0.0,0.0,0.0,0.0,1.9544907193e-05,0.0,0.986622363882,1.0,6.80257210968e-05,0.0,0.00442096220395,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.00027151,0.996459,0.000997654,0.00227181,1.0,1.0,0.00212052,0.895864,0.029893,0.0721231,1.0,1.0,0.000305233,0.995109,0.00201789,0.00256735,False,True,with annotation,nonvirus
17322,NODE_179_length_5856_cov_44.0591_g16_i9,5856,9.92162989198e-16,0.0,0.0,0.0,0.0,0.0,0.356095819873,0.0,0.42129861365,0.0,0.00704799066881,0.0,1.87964117077e-08,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.000671355,0.0092923,0.00502372,0.985013,3.0,3.0,0.000295128,0.000236987,0.00113888,0.998329,3.0,3.0,0.000169628,0.000229585,0.00934163,0.990259,False,True,with annotation,nonvirus
17330,NODE_189_length_5779_cov_36.8948_g133_i0,5779,3.15059311892e-18,0.0,0.0,0.0,0.0,0.0,0.740819441573,1.0,0.0229583485934,0.0,0.000436066178443,0.0,1.52775018736e-09,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,4.41334e-07,0.000264954,9.1895e-05,0.999643,3.0,3.0,5.12909e-08,3.27124e-07,9.35284e-06,0.99999,3.0,3.0,1.14578e-07,7.32761e-07,3.71975e-05,0.999962,False,True,with annotation,nonvirus
17337,NODE_196_length_5665_cov_27.5357_g138_i0,5665,0.631462761345,1.0,0.0,0.0,0.0,0.0,0.0800115507465,0.0,0.378083118454,0.0,0.000476906893339,0.0,0.224776143694,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0165722,0.760454,0.0832043,0.139769,1.0,1.0,0.00660089,0.669636,0.0831931,0.24057,1.0,1.0,0.00391182,0.907467,0.0373711,0.0512497,False,True,with annotation,nonvirus
17338,NODE_197_length_5659_cov_35.9657_g139_i0,5659,0.284227537437,0.0,0.0,0.0,0.0,0.0,0.0720128162449,0.0,0.664401652308,1.0,0.000779514150795,0.0,0.143066507,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0201706,0.559085,0.0650738,0.355671,3.0,3.0,0.00493144,0.0647229,0.0353917,0.894954,1.0,1.0,0.00570151,0.757308,0.0437852,0.193205,False,True,with annotation,nonvirus
17343,NODE_202_length_5538_cov_38.2262_g139_i1,5538,0.423384834657,0.0,0.0,0.0,0.0,0.0,0.0446877323773,0.0,0.672017827453,1.0,0.000486886099737,0.0,0.137550384164,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.021016,0.554715,0.0740872,0.350182,3.0,3.0,0.00511102,0.0726144,0.0361859,0.886089,1.0,1.0,0.00602633,0.758368,0.046465,0.18914,False,True,with annotation,nonvirus
17364,NODE_221_length_5362_cov_35.0096_g139_i2,5362,0.141305238018,0.0,0.0,0.0,0.0,0.0,0.15952693824,0.0,0.662604939627,1.0,0.00122420601382,0.0,0.150139908013,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0182458,0.635888,0.0574259,0.28844,3.0,3.0,0.00506612,0.0651343,0.0367678,0.893032,1.0,1.0,0.00533825,0.722459,0.0432415,0.228961,False,True,with annotation,nonvirus
17370,NODE_227_length_5331_cov_27.6204_g161_i0,5331,0.999790538684,1.0,0.0,0.0,0.0,0.0,0.00579535684597,0.0,0.998554630449,1.0,0.00190490312476,0.0,0.076119267882,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.000183077,0.974306,0.0042355,0.0212753,3.0,3.0,0.000138773,0.209723,0.0165102,0.773629,1.0,1.0,0.000479877,0.948133,0.00455741,0.0468301,False,True,with annotation,nonvirus
17392,NODE_250_length_5155_cov_16.1808_g181_i0,5155,0.54357114354,1.0,0.0,0.0,0.0,0.0,0.999894710702,1.0,0.0481714111384,0.0,0.0334100815405,0.0,0.737233959687,True,564608,no rank,Micromonas pusilla CCMP1545,Eukaryota,1.0,1.0,0.0502422,0.507794,0.0985694,0.343395,3.0,3.0,0.0014474,0.000428648,0.0104662,0.987658,3.0,3.0,0.0226747,0.0589815,0.247089,0.671254,False,True,with annotation,nonvirus
17398,NODE_256_length_5138_cov_29.0917_g133_i1,5138,1.7337610752e-18,0.0,0.0,0.0,0.0,0.0,0.687345967009,1.0,0.020822886798,0.0,0.000718737563693,0.0,1.09164723368e-09,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,1.19955e-06,0.000651102,0.000133699,0.999214,3.0,3.0,1.5733e-07,5.37528e-07,1.30409e-05,0.999986,3.0,3.0,2.50665e-07,3.12117e-06,7.38124e-05,0.999923,False,True,with annotation,nonvirus
17436,NODE_295_length_4927_cov_23.5862_g217_i0,4927,0.998294038806,1.0,0.0,0.0,0.0,0.0,0.000180584874453,0.0,0.999962601772,1.0,0.00974358208984,0.0,0.0134267197656,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0400838,0.505607,0.275864,0.178446,3.0,3.0,0.0051515,0.00729706,0.0676245,0.919927,1.0,1.0,0.0341642,0.359388,0.334167,0.272282,False,True,with annotation,nonvirus
17440,NODE_299_length_4906_cov_465.15_g220_i0,4906,1.01049454763e-12,0.0,0.0,0.0,0.0,0.0,0.991147430374,1.0,0.991918732711,1.0,0.32022973888,0.0,1.00077423742e-06,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.0138623,0.15803,0.0967854,0.731322,3.0,3.0,0.0040715,0.00499659,0.0420409,0.948891,3.0,3.0,0.0234807,0.146412,0.255256,0.574851,False,True,with annotation,nonvirus
17445,NODE_303_length_4869_cov_22.1323_g223_i0,4869,0.999999514844,1.0,0.0,0.0,0.0,0.0,0.000793866983131,0.0,0.999997532877,1.0,0.956420684728,1.0,0.0281756383775,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0106161,0.885702,0.050088,0.0535942,1.0,1.0,0.0142987,0.573372,0.0594091,0.35292,1.0,1.0,0.00165347,0.963202,0.0133644,0.0217804,False,True,with annotation,nonvirus
17451,NODE_309_length_4835_cov_73.8042_g228_i0,4835,1.0,1.0,0.0,0.0,0.0,0.0,0.00194233399493,0.0,0.999535274552,1.0,0.038225558934,0.0,0.0440719184394,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.000476631,0.993542,0.00401043,0.00197049,1.0,1.0,0.000309765,0.975987,0.00662204,0.0170813,1.0,1.0,0.000284472,0.996715,0.00150165,0.0014991,False,True,with annotation,nonvirus
17458,NODE_316_length_4810_cov_629.124_g220_i1,4810,1.18324381037e-11,0.0,0.0,0.0,0.0,0.0,0.998730235253,1.0,0.990740923369,1.0,0.619092210227,1.0,3.43764653374e-06,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.00271319,0.030745,0.0205693,0.945973,3.0,3.0,0.00165832,0.00100139,0.0131848,0.984156,3.0,3.0,0.00680139,0.0459398,0.0959017,0.851357,False,True,with annotation,nonvirus
17468,NODE_326_length_4786_cov_13.6206_g241_i0,4786,0.650702895922,1.0,0.0,0.0,0.0,0.0,0.999893917249,1.0,0.168175413066,0.0,0.0334466127752,0.0,0.806618787017,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0179877,0.703463,0.135297,0.143252,3.0,3.0,0.0113069,0.240075,0.0795105,0.669107,1.0,1.0,0.0146795,0.790477,0.102824,0.0920193,False,True,with annotation,nonvirus
17498,NODE_358_length_4654_cov_24.9548_g268_i0,4654,0.680417622478,1.0,0.0,0.0,0.0,0.0,0.999255940423,1.0,0.199652902621,0.0,0.0136094067866,0.0,0.824567372159,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0281493,0.739603,0.122022,0.110226,3.0,3.0,0.00919158,0.334303,0.0702197,0.586286,1.0,1.0,0.0110827,0.780804,0.0797494,0.128363,False,True,with annotation,nonvirus
17507,NODE_366_length_4591_cov_12.7555_g275_i0,4591,0.99999994304,1.0,0.0,0.0,0.0,0.0,0.0132469074422,0.0,0.999925059574,1.0,0.0846067319636,0.0,0.115095207058,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0207487,0.794007,0.0701387,0.115106,3.0,3.0,0.00658699,0.0572039,0.014362,0.921847,1.0,1.0,0.00795678,0.621831,0.0793571,0.290855,False,True,with annotation,nonvirus
17511,NODE_370_length_4580_cov_55.2864_g78_i1,4580,0.738291099077,1.0,0.0,0.0,0.0,0.0,0.999740497014,1.0,0.170567987493,0.0,0.0239047753509,0.0,0.85912717937,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.00541437,0.863755,0.0151556,0.115675,3.0,3.0,0.00606913,0.0921895,0.0321828,0.869559,1.0,1.0,0.00358645,0.924204,0.0243307,0.0478786,False,True,with annotation,nonvirus
17521,NODE_379_length_4552_cov_20.02_g284_i0,4552,0.807264988165,1.0,0.0,0.0,0.0,0.0,0.999498348985,1.0,0.533255283051,1.0,0.16765353264,0.0,0.898253874394,True,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.0190865,0.393771,0.104045,0.483097,3.0,3.0,0.00387569,0.0913907,0.0420724,0.862661,1.0,1.0,0.00494764,0.830238,0.0599815,0.104832,False,True,with annotation,nonvirus
17549,NODE_407_length_4477_cov_31.1463_g83_i2,4477,0.683152393689,1.0,0.0,0.0,0.0,0.0,0.99964407763,1.0,0.334785080162,0.0,0.0781095890989,0.0,0.826383230995,True,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.00137628,0.369366,0.180891,0.448367,3.0,3.0,0.000126146,0.0316537,0.0460924,0.922128,1.0,1.0,0.00168703,0.695882,0.0656994,0.236732,False,True,with annotation,nonvirus
17555,NODE_413_length_4455_cov_22.0775_g312_i0,4455,0.000372628401044,0.0,0.0,0.0,0.0,0.0,0.0168042956199,0.0,0.938272751244,1.0,0.00186736984069,0.0,0.00250235045657,False,38832,genus,Micromonas,Eukaryota,1.0,1.0,0.0210916,0.607644,0.0972003,0.274064,3.0,3.0,0.00667205,0.0718811,0.100289,0.821158,3.0,3.0,0.0170418,0.18812,0.205566,0.589272,False,True,with annotation,nonvirus
17595,NODE_453_length_4357_cov_27.4809_g346_i0,4357,0.666631058104,1.0,0.0,0.0,0.0,0.0,0.999982334191,1.0,0.0206774953107,0.0,0.00140221286973,0.0,0.816467563059,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0237495,0.865669,0.0383866,0.072195,3.0,3.0,0.00766184,0.0558354,0.0338248,0.902678,1.0,1.0,0.0129546,0.801233,0.0696916,0.116121,False,True,with annotation,nonvirus
17604,NODE_462_length_4335_cov_33.7124_g354_i0,4335,0.913148389627,1.0,0.0,0.0,0.0,0.0,0.000202600531295,0.0,0.999717690499,1.0,0.011841464016,0.0,0.0136016303762,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0159459,0.819531,0.0598319,0.104691,3.0,3.0,0.00664013,0.0496783,0.0389166,0.904765,1.0,1.0,0.0120064,0.812115,0.0695707,0.106308,False,True,with annotation,nonvirus
17606,NODE_464_length_4334_cov_28.7796_g356_i0,4334,0.999999999954,1.0,0.0,0.0,0.0,0.0,0.000340152312495,0.0,0.791614941468,1.0,2.86613720036e-06,0.0,0.0184432186041,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,1.6404e-06,0.966663,7.90201e-05,0.0332564,3.0,3.0,5.26471e-06,0.303025,0.00151719,0.695453,1.0,1.0,2.06869e-05,0.945992,0.000576016,0.0534118,False,True,with annotation,nonvirus
17629,NODE_488_length_4257_cov_28.8084_g356_i1,4257,0.999999999993,1.0,0.0,0.0,0.0,0.0,0.000240684843737,0.0,0.830222629801,1.0,3.80918733339e-06,0.0,0.0155140208758,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,1.23457e-06,0.974247,5.98397e-05,0.0256921,3.0,3.0,4.92201e-06,0.345753,0.00150774,0.652734,1.0,1.0,1.57936e-05,0.962559,0.000441016,0.0369841,False,True,with annotation,nonvirus
17640,NODE_500_length_4236_cov_26.1777_g356_i2,4236,0.999999999996,1.0,0.0,0.0,0.0,0.0,0.000427402741512,0.0,0.895963193779,1.0,1.08006318118e-05,0.0,0.0206737210369,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,9.34983e-07,0.964356,6.95109e-05,0.0355739,3.0,3.0,2.30652e-06,0.241903,0.00116495,0.756929,1.0,1.0,1.25788e-05,0.948585,0.000373541,0.0510289,False,True,with annotation,nonvirus
17658,NODE_518_length_4196_cov_104.879_g392_i0,4196,6.52032436799e-10,0.0,0.0,0.0,0.0,0.0,0.00182990600545,0.0,0.738181604276,1.0,0.000675668982869,0.0,1.09231775223e-06,False,296587,species,Micromonas commoda,Eukaryota,3.0,3.0,0.0220446,0.117734,0.233836,0.626385,3.0,3.0,0.00294031,0.00529538,0.0495806,0.942184,3.0,3.0,0.00664858,0.0188084,0.139999,0.834544,False,True,with annotation,nonvirus
